ID,선수명,연도,타수,안타,홈런,볼넷,삼진,타점,도루,타율,출루율,장타율,OPS,다음연도,다음OPS
66,박준영,2022,208,45,4,27,54,19,7,0.216,0.308,0.322,0.63,2023.0,0.707
66,박준영,2023,127,29,4,9,53,17,2,0.228,0.29,0.417,0.707,2024.0,0.722
66,박준영,2024,186,42,7,21,58,28,2,0.226,0.313,0.409,0.722,2025.0,0.628
66,박준영,2025,111,25,1,10,32,10,3,0.225,0.304,0.324,0.628,,
67,박민,2021,35,6,0,2,10,3,0,0.171,0.237,0.2,0.437,2022.0,0.0
67,박민,2022,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024.0,
67,박민,2024,29,8,0,1,7,2,0,0.276,0.3,0.414,0.714,2025.0,0.552
67,박민,2025,94,19,1,5,33,6,1,0.202,0.265,0.287,0.552,,
68,박민우,2021,180,47,1,22,23,18,12,0.261,0.36,0.339,0.699,2022.0,0.71
68,박민우,2022,390,104,4,42,55,38,21,0.267,0.351,0.359,0.71,2023.0,0.786
68,박민우,2023,452,143,2,40,57,46,26,0.316,0.381,0.405,0.786,2024.0,0.852
68,박민우,2024,457,150,8,54,79,50,32,0.328,0.406,0.446,0.852,2025.0,0.81
68,박민우,2025,404,122,3,44,64,67,28,0.302,0.384,0.426,0.81,,
71,박상건,2021,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2022.0,0.647
71,박상건,2022,134,30,4,11,28,17,0,0.224,0.281,0.366,0.647,2023.0,0.522
71,박상건,2023,145,29,1,10,38,13,1,0.2,0.253,0.269,0.522,2024.0,0.78
71,박상건,2024,42,12,0,9,12,4,1,0.286,0.423,0.357,0.78,,
74,박세혁,2021,237,52,0,22,43,30,4,0.219,0.296,0.27,0.566,2022.0,0.636
74,박세혁,2022,351,87,3,33,71,41,2,0.248,0.32,0.316,0.636,2023.0,0.654
74,박세혁,2023,242,51,6,30,43,32,1,0.211,0.307,0.347,0.654,2024.0,0.682
74,박세혁,2024,148,39,1,14,43,10,4,0.264,0.337,0.345,0.682,2025.0,0.482
74,박세혁,2025,86,14,2,5,28,10,1,0.163,0.215,0.267,0.482,,
75,박석민,2021,171,44,10,27,43,41,0,0.257,0.361,0.48,0.841,2022.0,0.489
75,박석민,2022,47,7,0,9,8,2,0,0.149,0.298,0.191,0.489,2023.0,0.56
75,박석민,2023,88,17,1,14,22,8,0,0.193,0.321,0.239,0.56,,
76,박성한,2021,407,123,4,49,73,44,12,0.302,0.377,0.388,0.765,2022.0,0.749
76,박성한,2022,494,147,2,60,81,56,12,0.298,0.375,0.374,0.749,2023.0,0.713
76,박성한,2023,459,122,9,58,56,47,4,0.266,0.347,0.366,0.713,2024.0,0.791
76,박성한,2024,489,147,10,64,86,67,13,0.301,0.38,0.411,0.791,2025.0,0.765
76,박성한,2025,452,124,7,79,93,48,5,0.274,0.384,0.381,0.765,,
